Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173692,1246146062,G,32.9456,5.47158,14.2939,-29.1744,15.3053,-1.40087,1.20521,-1,G,16.5902,0.725485,-16.405,-2.36072,16.421,-0.143271,-1.5266,-1,37.636
173692,1248053528,G,57.9235,17.3579,-0.849915,55.2549,17.3787,1.87372,-0.0489252,-1,G,17.0994,-14.8244,-6.09735,5.95289,16.0294,0.363327,-2.75138,-1,42.7476
173692,1247857729,G,45.834,-22.6693,-26.4771,29.7626,34.8559,0.774187,-2.27887,-1,G,21.8808,8.50626,14.2922,-14.2174,16.632,-0.774908,1.03394,-1,63.2027
173692,1249172634,G,191.214,40.248,19.3097,185.93,44.6404,2.13399,0.447332,1,G,190.91,-48.7284,-20.5533,183.439,52.8857,1.95706,-2.74244,1,97.5295
173692,1432574471,G,39.1349,-2.70446,18.8961,34.1636,19.0886,1.34544,1.71295,-1,G,27.7368,9.32565,-26.0159,-2.35062,27.6368,-0.0849516,-1.2266,-1,58.0105
173692,1432743603,G,61.2828,19.4074,17.858,55.3174,26.3734,1.4864,0.743845,1,G,16.7224,-7.71631,-14.7953,-1.08904,16.6866,-0.0652181,-2.05153,1,54.7543
173692,1434139873,G,35.0452,-18.8421,9.75291,27.8928,21.2166,1.08736,2.66395,-1,G,24.374,23.8876,0.175271,4.84058,23.8883,0.201272,0.00733717,-1,48.3233
173692,1434591638,G,23.4188,-1.86661,15.7029,17.2732,15.8135,0.945163,1.68911,1,G,47.2597,9.83237,-37.5146,-27.0083,38.7509,-0.649706,-1.31446,1,66.0415
173692,1584147172,G,40.203,-6.88914,-17.613,35.4767,18.1797,1.38671,-1.94331,1,G,31.6179,14.4453,-9.11609,26.6065,17.0813,1.22632,-0.562957,1,23.0732
173692,1584391869,G,41.1444,20.6963,3.47361,-35.3899,20.9858,-1.29389,0.166287,-1,T,39.1946,19.6817,3.0231,-33.7594,19.9126,-1.29848,0.152408,-1,0.366009
173692,1584163751,G,41.5758,40.1052,10.8323,-1.66477,40.7702,-0.040343,0.26389,1,T,44.6387,43.18,11.2098,1.5596,44.6114,0.0349525,0.254,1,3.26446
173692,1256540984,G,17.898,14.5232,9.63689,-4.06657,17.4296,-0.231247,0.585844,-1,G,23.245,-13.7496,-6.4951,17.5807,15.2065,0.987583,-2.70028,-1,38.7253
173692,1255610859,G,28.2639,15.2241,-3.3302,-23.5791,15.5841,-1.20197,-0.215353,1,G,38.9999,-13.1758,8.36725,35.7403,15.6081,1.56623,2.5758,1,65.9315
173692,1257183465,G,33.0054,7.98876,-13.8032,28.8963,15.9483,1.35619,-1.04614,1,G,23.873,9.83862,-12.2896,17.9464,15.7427,0.976976,-0.895713,1,6.50048
173692,1370312267,G,15.43,8.6625,12.6888,1.42528,15.3637,0.0926367,0.971782,-1,G,26.3361,15.6236,21.1933,0.573508,26.3297,0.0217801,0.93554,-1,1.61586
173692,1371290552,G,18.8878,-14.4114,-5.87852,-10.7001,15.5642,-0.64238,-2.75429,1,G,20.2913,12.306,10.5603,-12.197,16.0887,-0.694914,0.709317,1,31.3747
173692,1371003006,G,22.1282,20.2864,-8.82982,0.37776,22.1247,0.0170733,-0.410528,1,T,17.1001,15.6294,-6.93269,-0.252489,17.0979,-0.0147667,-0.417492,1,0.668793
173692,1374839909,G,90.9722,-29.683,-2.67051,-85.9518,29.8028,-1.78112,-3.05187,1,G,97.3966,21.252,5.8167,-94.8715,22.0336,-2.16632,0.267159,1,52.007
173692,1375884530,G,30.1515,-21.2434,-16.8905,13.1351,27.1398,0.466835,-2.46985,1,G,24.6688,6.93424,23.0935,5.21008,24.1121,0.21443,1.27909,1,49.2493
